location,Excel,Excel,Excel,Excel
lat,51.33319,51.33319,51.33319,51.33319
lon,-110.62500,-110.62500,-110.62500,-110.62500
asl,763.029,763.029,763.029,763.029
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Relative Humidity [2 m],Excel Wind Speed [10 m],Excel Wind Direction [10 m]
20210404T0000,6.028188,67.0,16.323528,131.42366
20210404T0100,5.108188,72.0,15.408671,142.59465
20210404T0200,4.2581882,77.0,14.20062,149.53445
20210404T0300,3.308188,84.0,12.43434,157.89055
20210404T0400,2.748188,88.0,10.739833,166.42957
20210404T0500,2.268188,91.0,9.0,180.0
20210404T0600,1.8281881,92.0,11.298495,202.47943
20210404T0700,2.318188,87.0,11.480557,221.18593
20210404T0800,4.708188,74.0,14.081477,237.52881
20210404T0900,7.438188,61.0,16.923828,240.70865
20210404T1000,9.678187,54.0,21.09305,242.56027
20210404T1100,12.778188,42.0,27.345785,249.17911
20210404T1200,13.098187,37.0,34.743263,259.85446
20210404T1300,13.858188,31.0,38.627514,265.72418
20210404T1400,13.488188,28.0,41.406258,270.99634
20210404T1500,12.598187,29.0,42.730953,279.70038
20210404T1600,11.138187,35.0,41.38121,291.43115
20210404T1700,9.088188,46.0,39.738846,303.5461
20210404T1800,6.978188,57.0,36.982006,311.4483
20210404T1900,5.9081883,59.0,33.933697,318.87128
20210404T2000,5.538188,55.0,29.168886,324.54456
20210404T2100,4.298188,57.0,20.883102,324.11786
20210404T2200,2.818188,63.0,15.856354,320.52753
20210404T2300,1.378188,71.0,12.7279215,315.0
20210405T0000,0.23818803,78.0,10.685391,302.61926
20210405T0100,-0.58181196,83.0,11.770403,293.4287
20210405T0200,-1.371812,88.0,13.363711,297.25534
20210405T0300,-1.9418119,91.0,13.891522,301.2184
20210405T0400,-2.221812,93.0,13.281023,302.82855
20210405T0500,-2.5618122,94.0,11.753877,297.34985
20210405T0600,-2.451812,95.0,12.303366,290.55603
20210405T0700,-2.3418121,93.0,9.9571085,282.5288
20210405T0800,-0.65181196,84.0,11.090103,283.13403
20210405T0900,2.4281878,68.0,12.303366,290.55603
20210405T1000,4.568188,56.0,11.966953,291.16125
20210405T1100,6.188188,47.0,11.885453,271.73572
20210405T1200,7.6381884,41.0,14.471821,264.28943
20210405T1300,8.888187,35.0,15.941944,263.51694
20210405T1400,9.868188,32.0,16.575644,267.51044
20210405T1500,10.678187,29.0,16.62249,265.03027
20210405T1600,11.158188,27.0,16.454008,259.9194
20210405T1700,11.408188,26.0,15.893093,256.9081
20210405T1800,11.248188,26.0,15.141414,251.99585
20210405T1900,10.508187,27.0,12.287555,238.17256
20210405T2000,8.488188,31.0,8.854829,206.56505
20210405T2100,6.9881883,34.0,9.826088,188.42697
20210405T2200,5.278188,39.0,10.464798,183.94519
20210405T2300,3.768188,43.0,10.308831,192.09476
20210406T0000,2.6481879,46.0,9.904906,199.09349
20210406T0100,1.6681881,50.0,9.659814,206.56505
20210406T0200,0.9281881,53.0,9.290511,215.53769
20210406T0300,0.30818805,56.0,8.669949,228.36647
20210406T0400,-0.48181197,59.0,8.714677,231.70984
20210406T0500,-1.021812,62.0,8.39657,239.03624
20210406T0600,-1.3018119,63.0,7.5942082,238.57043
20210406T0700,-0.38181198,62.0,6.4799995,270.0
20210406T0800,2.068188,55.0,4.896529,252.89728
20210406T0900,5.798188,48.0,3.7585104,253.30075
20210406T1000,8.378188,41.0,2.5455842,278.1301
20210406T1100,10.478188,35.0,1.8,360.0
20210406T1200,11.928187,32.0,1.484318,75.96376
20210406T1300,13.358188,29.0,2.5455842,135.0
20210406T1400,14.368188,27.0,4.802999,167.00539
20210406T1500,15.148188,25.0,7.5599995,180.0
20210406T1600,15.508187,24.0,10.495713,185.90614
20210406T1700,15.578188,24.0,13.849476,188.97263
20210406T1800,15.358188,25.0,15.463244,192.09476
20210406T1900,14.278188,27.0,9.007196,182.2906
20210406T2000,11.548187,34.0,8.287822,145.61966
20210406T2100,9.788188,39.0,9.793059,126.027374
20210406T2200,7.9181886,44.0,10.464797,130.81508
20210406T2300,5.3881884,54.0,10.739832,140.44034
20210407T0000,3.4281878,63.0,10.948973,152.59242
20210407T0100,1.7581881,71.0,10.390226,165.96376
20210407T0200,0.59818804,76.0,11.159999,180.0
20210407T0300,-0.28181195,80.0,11.841756,199.53665
20210407T0400,-0.731812,82.0,13.18308,214.99202
20210407T0500,-1.121812,85.0,12.984975,226.1233
20210407T0600,-1.7418119,90.0,13.004922,228.36647
20210407T0700,-1.011812,86.0,10.315115,209.24883
20210407T0800,2.248188,71.0,9.6932955,195.0685
